segment,trial,r2,abs_bias_gt63,bias_gt63,pr_auc_troncon,pr_auc_tour,mae_gt63,mae_global,is_pareto,hp_max_depth,hp_learning_rate,hp_n_estimators,hp_subsample,hp_colsample_bytree,hp_min_child_weight,hp_reg_lambda,hp_reg_alpha,hp_gamma
bas,0,0.5682193643828128,27.318477782708346,-27.318477782708346,0.47033930535170887,0.580922400303318,28.20719264310492,8.084789985715942,False,5,0.2536999076681771,466,0.8394633936788146,0.6624074561769746,2,0.2904180608409973,1.7323522915498704,3.005575058716044
bas,1,0.6313827631041167,27.841953940678703,-27.841953940678703,0.4991649749973856,0.5830421619927073,28.010659145857034,7.346700387587592,False,8,0.010725209743171997,585,0.9329770563201687,0.6849356442713105,2,0.9170225492671691,0.6084844859190754,2.6237821581611893
bas,2,0.629736183437503,27.51106338630921,-27.51106338630921,0.5050988073265122,0.5918145084336484,27.719644352260612,7.395703408206719,False,6,0.02692655251486473,406,0.6557975442608167,0.7168578594140872,4,2.28034992108518,1.5703519227860272,0.9983689107917987
bas,3,0.6320101936675451,27.557794229043388,-27.557794229043388,0.5056208428932132,0.5936084580298193,27.76509684831609,7.344690454491618,False,7,0.07500118950416987,123,0.8430179407605753,0.6682096494749166,1,4.7444276862666666,1.9312640661491187,4.041986740582305
bas,4,0.6099409323768193,29.364960710764652,-29.364960710764652,0.4782335884117502,0.5699738473702046,29.489086664670836,7.588665874253124,False,5,0.013940346079873234,442,0.7760609974958405,0.6488152939379115,5,0.17194260557609198,1.8186408041575641,1.2938999080000846
bas,5,0.6371003422175368,27.384483253633654,-27.384483253633654,0.5109425113517941,0.5918478384963659,27.570965849873303,7.300100329756982,True,8,0.028869220380495747,360,0.8186841117373118,0.6739417822102108,10,3.8756641168055728,1.8789978831283782,4.474136752138244
bas,6,0.5958398382808336,26.81441033624461,-26.81441033624461,0.47546238343967734,0.5788216394896388,27.336319612991492,7.776157731201714,False,7,0.22999586428143734,144,0.678393144967658,0.6180909155642152,4,1.9433864484474102,0.5426980635477918,4.143687545759647
bas,7,0.6195136345827028,28.243108848265045,-28.243108848265045,0.4907634773210432,0.5832519951396611,28.456564423213614,7.493370619759059,False,5,0.026000059117302653,371,0.6563696899899051,0.9208787923016158,1,4.9344346830025865,1.5444895385933148,0.993578407670862
bas,8,0.6135599962593243,27.20325728343503,-27.20325728343503,0.4890044983876047,0.585966606848774,27.696488828900765,7.589961638832105,False,3,0.16015312171361207,454,0.8916028672163949,0.9085081386743783,1,1.7923286427213632,0.23173811905025943,4.315517129377968
bas,9,0.6129009367019328,29.609848450582312,-29.609848450582312,0.4790886810517727,0.5688812945332834,29.72350812608035,7.535400113182215,False,7,0.030816017044468066,131,0.7243929286862648,0.7300733288106988,8,3.1877873567760657,1.774425485152653,2.3610746258097466
bas,10,0.6254500926595817,27.09894818534789,-27.09894818534789,0.5002419608526989,0.5955228033660991,27.39888863791074,7.4329990965291675,False,10,0.0731232320888591,273,0.972916136764715,0.8075137588534191,10,3.7215085517650976,1.1999585935713055,4.781661696503565
bas,11,0.6274503096188291,27.435431435328233,-27.435431435328233,0.4979548512824701,0.5831374874549461,27.722961280061696,7.427217996166126,False,10,0.07450796714251996,230,0.7421767356448259,0.6125516819803676,7,3.6820822314479495,1.0361654055863794,3.726938689764824
bas,12,0.6054261940645441,26.780768167441824,-26.780768167441824,0.4917318682053043,0.5824116233210619,27.173570670393854,7.694836824512522,False,9,0.13753600151626258,291,0.6060565531216514,0.7874820875551369,9,2.5072817335525968,0.06717176986894446,4.969887371807895
bas,13,0.6109031989395246,26.49645052729426,-26.49645052729426,0.48687033297428794,0.5821682812277361,26.860179402093735,7.67311165579286,True,9,0.13516318119460094,299,0.6025014712509039,0.7926447719847398,10,2.7774595258214023,1.103330159747397,4.994724778272431
bas,14,0.6322402635551858,26.948346681093252,-26.948346681093252,0.5010029319986089,0.587639702444939,27.233622222413555,7.3540978499547665,True,9,0.04504246851590914,331,0.9984067957444854,0.9979786945056214,10,4.120785704060954,1.1786236655634195,3.5246354130075526
bas,15,0.63060098395388,27.584104303475705,-27.584104303475705,0.492101745029625,0.584966412735887,27.85959095429235,7.360025864573223,False,9,0.05034074775855648,202,0.9750244637464092,0.9794811640353394,7,4.314636609266264,1.218519912421025,3.211810280697476
bas,16,0.6293507664479993,27.158238433863772,-27.158238433863772,0.500442575082587,0.5905036047113774,27.39717197698957,7.392408366309796,False,9,0.04966678603359802,326,0.8963000361701949,0.8541126583678037,9,2.8505018353402662,0.9642126101460594,0.06589607190461777
