Gare_Gare_BPUIC,Gare_lv95East,Gare_lv95North,Gare_wgs84East,Gare__wgs84North
8501260,2554991.218,1146845.896,6.852629995,46.471420000
8501261,2555163.297,1146437.734,6.854909997,46.467760000
